,Id,Price,Year_model,Mileage,Make
613273,618640,8000,2012,129829,Ford
624810,630177,12999,2014,86697,Ford
960824,966192,11800,2013,90234,Mazda
974470,979838,35500,2016,16751,Mercedes-Benz
198797,198798,22433,2015,55267,Audi
1182719,1199409,37791,2015,32236,Toyota
484641,490008,24950,2017,17865,Chevrolet
173992,173993,8666,2009,97075,BMW
732546,737913,41991,2015,44162,GMC
592143,597510,8995,2006,170801,Dodge
116628,116629,5999,2003,96097,Chevrolet
863186,868553,9995,2007,115406,Jeep
485408,490775,24400,2017,31492,Chevrolet
860096,865463,22680,2017,16445,Jeep
798663,804030,11899,2017,50060,Hyundai
623657,629024,18599,2015,18563,Ford
17739,17740,15999,2011,83350,GMC
849874,855241,14920,2014,65824,Jeep
1179535,1196183,22944,2011,129338,Toyota
847025,852392,16590,2016,33951,Jeep
899104,904471,14500,2015,66209,Kia
1107387,1122516,6495,2005,121036,Subaru
11123,11124,9600,2008,107267,GMC
228172,228173,17939,2014,66655,Kia
1134358,1149487,18000,2014,31279,Toyota
1191477,1208265,15500,2016,34786,Volkswagen
54816,54817,23995,2017,26520,Ford
901819,907186,15900,2017,22138,Kia
373776,379143,5250,2004,107519,Honda
201585,201586,24995,2014,33772,Acura
605422,610789,9725,2014,53714,Ford
676851,682218,33788,2017,20540,Ford
1045124,1050492,9995,2006,96843,Nissan
695634,701001,41628,2015,35906,Ford
185026,185027,17900,2013,44855,Acura
33812,33813,26632,2013,69020,Ford
231975,231976,49000,2012,27837,Land
563186,568553,17999,2016,9497,Dodge
1182179,1198864,42990,2016,6945,Toyota
530173,535540,43495,2015,33898,Chevrolet
434930,440297,45995,2014,22281,Cadillac
673646,679013,29999,2014,36709,Ford
408977,414344,14000,2013,75919,Buick
1120947,1136076,15491,2016,49660,Toyota
1166619,1183073,15878,2005,99818,Toyota
473861,479228,18980,2017,42599,Chevrolet
984901,990269,41996,2016,16188,Mercedes-Benz
1003938,1009306,13950,2016,47708,Nissan
278566,278567,6750,2007,132465,Nissan
93571,93572,47396,2015,59840,Chevrolet
1087143,1101980,49995,2012,60989,Ram
534501,539868,7424,2007,320520,Chevrolet
797079,802446,12350,2016,41566,Hyundai
154259,154260,44000,2017,4881,BMW
1012491,1017859,16000,2016,13,Nissan
1188546,1205334,10500,2015,34069,Volkswagen
147575,147576,15995,2015,44578,Buick
59758,59759,12929,2012,51943,Ford
92325,92326,41886,2015,117850,Chevrolet
798914,804281,14730,2017,27702,Hyundai
915778,921145,16400,2016,16433,Kia
1078639,1086006,26488,2016,38777,Ram
699646,705013,32616,2017,20087,Ford
159313,159314,39900,2016,12417,BMW
547556,552923,15482,2014,76428,Chrysler
444561,449928,11998,2014,25950,Chevrolet
1097801,1112930,9995,2012,90900,Subaru
612605,617972,5494,2007,108255,Ford
370389,375756,19990,2015,63818,Honda
561325,566692,7000,2009,159386,Dodge
277925,277926,14865,2013,15962,Nissan
265045,265046,10897,2017,30501,Mitsubishi
110918,110919,10999,2011,130608,Chevrolet
483154,488521,20570,2017,3028,Chevrolet
666402,671769,28991,2014,26290,Ford
214616,214617,27990,2013,50953,Jeep
327403,331453,18995,2016,47972,Toyota
782133,787500,23980,2014,52699,Honda
420293,425660,30988,2016,43582,Buick
305667,309717,17914,2014,42952,Subaru
949209,954577,55979,2017,4980,Lincoln
351002,356367,7895,2012,58908,Volkswagen
152908,152909,34975,2017,4431,BMW
783014,788381,9000,2006,203261,Honda
388516,393883,12078,2013,41422,Hyundai
478313,483680,19998,2014,33833,Chevrolet
1039227,1044595,19531,2016,32373,Nissan
933224,938591,31500,2014,14369,Lexus
852415,857782,23374,2017,16190,Jeep
637593,642960,11995,2007,70743,Ford
58848,58849,17456,2015,18370,Ford
1106686,1121815,34898,2017,3922,Subaru
638674,644041,6490,2006,98189,Ford
587779,593146,21914,2017,25454,Dodge
852745,858112,23494,2017,10012,Jeep
1177156,1193780,17995,2010,103868,Toyota
291466,291467,18888,2016,34826,Nissan
17059,17060,9212,2007,127688,GMC
1185598,1202374,24935,2010,81375,Toyota
681206,686573,34995,2017,17000,Ford
1079622,1087860,29385,2017,17184,Ram
339051,344091,20000,2012,98405,Toyota
473836,479203,20000,2015,5675,Chevrolet
636062,641429,20280,2013,26596,Ford
637204,642571,6020,2007,156854,Ford
781603,786970,29988,2016,26389,Honda
521451,526818,42800,2017,5383,Chevrolet
519571,524938,33237,2015,68800,Chevrolet
411842,417209,12994,2014,66856,Buick
270190,270191,12888,2013,42166,Nissan
463587,468954,15987,2014,73438,Chevrolet
769160,774527,18998,2014,33870,Honda
1115432,1130561,15724,2014,22637,Toyota
1082520,1093108,13998,2011,94519,Ram
788940,794307,17980,2012,67062,Honda
1010616,1015984,15608,2017,7342,Nissan
318246,322296,6715,2009,87072,Toyota
375277,380644,26948,2014,27092,Honda
1171689,1188257,33977,2016,12628,Toyota
379701,385068,18000,2010,93827,HUMMER
958460,963828,21999,2017,12559,Mazda
469101,474468,6300,2013,96366,Chevrolet
1013739,1019107,11991,2014,26676,Nissan
606142,611509,14668,2015,52455,Ford
271694,271695,13698,2016,25325,Nissan
495231,500598,14500,2009,148599,Chevrolet
1204487,1221275,19416,2015,32274,Volkswagen
791543,796910,15495,2003,134058,HUMMER
86821,86822,22785,2016,42066,Chrysler
760830,766197,20480,2016,38444,Honda
982384,987752,27998,2010,68881,Mercedes-Benz
409737,415104,17984,2014,53907,Buick
432519,437886,29981,2014,31739,Cadillac
994509,999877,15995,2012,24176,MINI
787280,792647,30000,2016,50115,Honda
1136989,1152118,22995,2016,10171,Toyota
879250,884617,26750,2012,53439,Jeep
344573,349813,31998,2015,43489,Toyota
1181024,1197693,31990,2014,14875,Toyota
396528,401895,31954,2015,46784,Hyundai
1054179,1059547,13594,2013,126882,Nissan
1103069,1118198,20000,2014,54839,Subaru
936847,942214,33995,2015,38962,Lexus
995917,1001285,19791,2014,34412,MINI
1099858,1114987,17574,2014,60865,Subaru
364852,370219,17446,2014,37876,Honda
1175513,1192123,20998,2012,159523,Toyota
28653,28654,35990,2015,21925,Ford
481212,486579,14890,2012,62145,Chevrolet
423644,429011,12950,2008,61292,Cadillac
239234,239235,9949,2007,146904,Lexus
319530,323580,10960,2013,62764,Toyota
945734,951102,25430,2015,26571,Lincoln
558851,564218,22977,2017,7116,Dodge
1046106,1051474,18999,2014,57265,Nissan
1181737,1198418,34250,2016,16035,Toyota
789593,794960,25000,2015,31905,Honda
549930,555297,20990,2013,51910,Chrysler
111426,111427,23500,2014,72830,Chevrolet
1197039,1213827,5988,2010,93244,Volkswagen
879770,885137,27995,2014,52280,Jeep
485206,490573,11999,2003,95130,Chevrolet
701423,706790,46726,2016,25334,Ford
1203907,1220695,18021,2014,41377,Volkswagen
1103932,1119061,21878,2013,33907,Subaru
345849,351118,28995,2013,67560,Toyota
197606,197607,13900,2007,90042,Audi
942826,948194,6709,2008,115825,Lincoln
639119,644486,21997,2016,31103,Ford
605858,611225,9500,2012,47815,Ford
454976,460343,18995,2016,16914,Chevrolet
169025,169026,15999,2007,81454,BMW
185097,185098,10790,2013,111751,Acura
694303,699670,9995,1999,165577,Ford
369837,375204,11499,2014,38860,Honda
16251,16252,19997,2013,109000,GMC
1097520,1112649,24989,2017,6187,Subaru
378697,384064,35230,2015,15913,Honda
2680,2681,17298,2016,1583,Honda
727125,732492,37995,2017,18878,GMC
373721,379088,10898,2013,58718,Honda
278307,278308,12921,2015,12220,Nissan
448819,454186,13593,2016,41059,Chevrolet
271339,271340,15697,2014,36654,Nissan
155807,155808,32939,2014,27408,BMW
157544,157545,36989,2014,16588,BMW
360795,366162,45590,2017,5,Volvo
25739,25740,7500,2010,119578,Ford
250685,250686,26379,2016,1838,Mazda
805235,810602,8900,2016,46117,Hyundai
1030386,1035754,5695,2007,129204,Nissan
391916,397283,11995,2008,55851,Hyundai
114442,114443,9991,2005,91870,Chevrolet
962070,967438,19817,2014,56829,Mazda
351998,357363,8798,2011,49891,Volkswagen
285381,285382,12991,2011,128827,Nissan
537122,542489,46800,2015,54803,Chevrolet
831849,837216,10999,2009,131436,INFINITI
477360,482727,16718,2015,51430,Chevrolet
